-6.7,0.5,1,-4
-6.7,1,1,-1.6
-6.7,1.5,1,0.6
-6.7,2,1,2.6
-13.5,0.5,2,-8.3
-13.5,1,2,-3.3
-13.5,1.5,2,0.9
-13.5,2,2,5.2
-20.3,0.5,3,-12.7
-20.3,1,3,-5.5
-20.3,1.5,3,1.5
-20.3,2,3,7.5
-27.3,0.5,4,-16.9
-27.3,1,4,-7.3
-27.3,1.5,4,1.4
-27.3,2,4,9.9
-34.9,0.5,5,-21.4
-34.9,1,5,-9
-34.9,1.5,5,2.6
-34.9,2,5,12.8
8.9,0.5,1,5.7
8.9,1,1,3.3
8.9,1.5,1,1
8.9,2,1,-0.9
17.9,0.5,2,11.7
17.9,1,2,6.9
17.9,1.5,2,2.3
17.9,2,2,-1.6
27.2,0.5,3,15
27.2,1,3,7.7
27.2,1.5,3,1.1
27.2,2,3,-5.1
36.9,0.5,4,20.5
36.9,1,4,7.6
36.9,1.5,4,-0.4
36.9,2,4,-8.5
46.5,0.5,5,24.7
46.5,1,5,12.6
46.5,1.5,5,1.2
46.5,2,5,-9.8